reviewerName,expertiseAreas
Alexander Hanbo Li,transfer of learning
Wenfang Xu,transfer of learning
Wen Liu,"transfer of learning, convolution (computer science)"
Jiguo Li,"transfer of learning, convolution (computer science)"
Md. Mostafizer Rahman,"transfer of learning, convolution (computer science)"
Youngsun Han,transfer of learning
R. Garroppo,"transfer of learning, monkeypox"
V. Haucke,"transfer of learning, pandemic"
K. Bobosha,"transfer of learning, pandemic"
Manchun Li,"transfer of learning, encode, cwm"
L. Khoukhi,transfer of learning
Erika M. Edwards,"interpretability, hyperparameter"
Tobias Winker,"interpretability, hyperparameter"
Mi Chen,"interpretability, transformer, health"
M. Webb,"interpretability, transformer, health"
Anru R. Zhang,interpretability
A. Demichev,interpretability
S. Shiina,interpretability
K. Shakir,"interpretability, tacrine, overfitting, self-organizing map"
Limin Fan,"interpretability, tacrine, overfitting, self-organizing map"
Makoto Onizuka,interpretability
Dianbo Liu,interpretability
Santam Chakraborty,"interpretability, edible mushroom, data type, pleurotus"
C. Duncan,interpretability
A. Polleres,interpretability
L. Scholte,interpretability
Noam Harel,interpretability
Q. Lan,interpretability
Mónica Álvarez-Fernández,"interpretability, infiltration (hvac), biomedicine"
Xiaowen Xie,"interpretability, biomedicine"
Ken Massy,"interpretability, biomedicine"
N. Ansari,interpretability
Sihang Liu,interpretability
Dewei Li,interpretability
I. Kulakovskiy,interpretability
J. H. Hormazabal,interpretability
J. Dupree,monkeypox
M. Herle,"monkeypox, orthopoxvirus, molecular, synthesis, molecular model, novel virus, pyrazole"
Fenxia Hou,"monkeypox, orthopoxvirus, novel virus"
M. Stieger,"monkeypox, pandemic, romp"
M. Schwartz,"monkeypox, microphthalmia-associated transcription factor"
G. Tallini,monkeypox
M. Mbiyavanga,"monkeypox, sweetness, steviol, stevia rebaudiana"
Andrew Howlett,"monkeypox, novel virus"
O. Jeske,"monkeypox, frontier, translational research, novel virus"
Jonne L. Snitselaar,"monkeypox, viral shedding"
Feifei Cheng,"monkeypox, viral shedding"
D. Veesler,"monkeypox, viral shedding"
R. H. Khan,"monkeypox, pcsk9"
Kogilavani Shanmugavadivel,"monkeypox, profiling (computer programming)"
S. Pramanik,case fatality rate
Kyudong Han,"case fatality rate, coronavirus"
D. Phelan,"case fatality rate, coronavirus, cheminformatics, statement (logic)"
Xuebin Xu,"case fatality rate, coronavirus, etiology"
T. Molnár,"case fatality rate, pandemic"
M. Bates,"case fatality rate, pandemic"
T. Links,"case fatality rate, pandemic"
Sylvia Kam,"case fatality rate, adapter molecule crk, pandemic, betacoronavirus, coronavirus, health, global health, atypical pneumonia, genome, subfamily, biotic stress"
M. Figueroa,"case fatality rate, pandemic, coronavirus"
L. Costa,"case fatality rate, pandemic, coronavirus"
E. Spivak,"case fatality rate, pandemic, coronavirus"
X. Liao,"case fatality rate, pandemic, coronavirus, atypical pneumonia"
P. Jiang,"case fatality rate, pandemic, coronavirus, atypical pneumonia"
Yibing Ji,"differential pulse voltammetry, application layer"
N. Akers,differential pulse voltammetry
Andrew R. Hamel,"differential pulse voltammetry, genome"
Paula Ruiz-Hueso,"electrochemical gas sensor, molecularly imprinted polymer, molecular imprinting"
James M. Brophy,"electrochemical gas sensor, molecularly imprinted polymer, molecular imprinting"
D. Gesto,molecularly imprinted polymer
Tahereh Nematiaram,molecularly imprinted polymer
V. Hertzberg,molecularly imprinted polymer
J. Phillips,"molecularly imprinted polymer, pandemic, bioanalysis, sample preparation, angiotensin-converting enzyme 2, tissue tropism"
Sheng Hui,"molecularly imprinted polymer, bioanalysis, sample preparation"
D. Marimpietri,"molecularly imprinted polymer, bioanalysis, sample preparation"
K. Murakami,"molecularly imprinted polymer, langmuir adsorption model, poly(n-isopropylacrylamide)"
C. H. Foyer,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, biomolecule"
B. S. Thapa,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, biomolecule"
William W Harless,"molecularly imprinted polymer, molecular imprinting, template, reusability"
V. Meglič,"molecularly imprinted polymer, molecular imprinting, template, reusability"
K. Kendler,"molecularly imprinted polymer, molecular imprinting, template, reusability"
Xiao-Ming Yang,"molecularly imprinted polymer, molecular imprinting, biomolecule"
Daniel L. Jeffries,"molecularly imprinted polymer, molecular imprinting, biomolecule"
Hiroaki Adachi,"molecularly imprinted polymer, molecular imprinting"
Jiraphun Jittikoon,"molecularly imprinted polymer, horseradish peroxidase, molecular imprinting, molecular"
G. Ott,"molecularly imprinted polymer, horseradish peroxidase, molecular imprinting, molecular"
D. Kishore,"molecularly imprinted polymer, boronic acid, cationic polymerization"
J. McMurry,"molecularly imprinted polymer, homomorphic encryption, boronic acid, capacitation, cationic polymerization"
J. Edgeworth,"molecularly imprinted polymer, boronic acid, cationic polymerization"
A. Rudik,"molecularly imprinted polymer, reusability"
A. Meyyazhagan,"molecularly imprinted polymer, reusability"
J. Shibli,"molecularly imprinted polymer, personalized medicine, reusability"
J. Steinbrink,"molecularly imprinted polymer, langmuir adsorption model, molecular imprinting, nip, ethylene glycol dimethacrylate, poly(n-isopropylacrylamide)"
W. Lee,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular recognition, mediator, transcription"
M. Sahay,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), pandemic, molecular recognition, liver cancer"
E. Feofanova,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular recognition"
O. Brand,"molecularly imprinted polymer, molecular imprinting, molecular, synthesis, monolith"
Amandeep Kaur,"molecularly imprinted polymer, molecular imprinting, molecular, synthesis, monolith"
S. Ricci,"molecularly imprinted polymer, molecular imprinting, molecular, synthesis, monolith"
Martín A. Rivas,"molecularly imprinted polymer, macromolecular crowding, molecular imprinting"
Anam Farooqui,"molecularly imprinted polymer, gold standard (test), macromolecular crowding, molecular imprinting, neisseria gonorrhoeae, point-of-care testing, point of care, multiple displacement amplification"
Mark J. Bowser,"molecularly imprinted polymer, macromolecular crowding, molecular imprinting"
Christoph Bock,"molecularly imprinted polymer, molecular, nip"
Daryl A. Scott,"molecularly imprinted polymer, molecular, nip"
N. Biglia,"molecularly imprinted polymer, molecular, nip"
Daniel A. Hoffman,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, thermogravimetric analysis, selective adsorption"
M. Wencel,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, thermogravimetric analysis, selective adsorption"
R. Parad,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, thermogravimetric analysis, selective adsorption"
J. Lakey,"molecularly imprinted polymer, molecular imprinting, precipitation polymerization"
David Edwards,"molecularly imprinted polymer, molecular imprinting, exome, molecular, health, multiplex"
Carolina Putotto,"molecularly imprinted polymer, molecular imprinting, molecular"
Ju-Chin Chen,"molecularly imprinted polymer, precipitation polymerization, divinylbenzene, ethylene glycol dimethacrylate, dispersity, thermogravimetric analysis"
R. M. Wehbe,"molecularly imprinted polymer, precipitation polymerization, divinylbenzene, ethylene glycol dimethacrylate, dispersity, thermogravimetric analysis"
P. Heneberg,"molecularly imprinted polymer, precipitation polymerization, divinylbenzene, ethylene glycol dimethacrylate, dispersity, thermogravimetric analysis"
Jianming Wu,"molecularly imprinted polymer, molecular imprinting, molecular, cartridge"
Lang-Lang Gong,"molecularly imprinted polymer, molecular imprinting, molecular, cartridge"
Xiaojuan Liu,"molecularly imprinted polymer, molecular imprinting"
B. Straub,"molecularly imprinted polymer, molecular imprinting"
T. Haug,"molecularly imprinted polymer, molecular imprinting, chiral stationary phase, chromatographic separation"
K. Sterba,"molecularly imprinted polymer, molecular imprinting, chiral stationary phase, chromatographic separation"
V. Caro,"molecularly imprinted polymer, molecular imprinting, chiral stationary phase, chromatographic separation"
Nicholette D. Palmer,"molecularly imprinted polymer, molecular imprinting, chromatographic, molecular"
Ting Wang,"molecularly imprinted polymer, molecular imprinting, chromatographic, molecular"
Christopher P. Nelson,"molecularly imprinted polymer, aptamer"
Dana Weisenfeld,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular, selective adsorption"
S. Stefani,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular, selective adsorption"
Shannon D. Whirledge,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular, proteome, kegg, metabolic pathway, selective adsorption"
Lei-Ping Zeng,"molecularly imprinted polymer, dispersity"
David A. Gaul,"molecularly imprinted polymer, ancient dna, dispersity"
Siwei Zhang,"molecularly imprinted polymer, binding affinities, molecular imprinting, docking (animal)"
Xiao Luo,"molecularly imprinted polymer, carboxylate, molecular, synthesis"
LeeAnna I. Muzquiz,"molecularly imprinted polymer, carboxylate, molecular, synthesis"
V. Schimmenti,"molecularly imprinted polymer, proteome, sample preparation"
Janet S. de Moor,"molecularly imprinted polymer, proteome, sample preparation"
Ze-Zhen Liu,"molecularly imprinted polymer, proteome, sample preparation"
W. Zhang,"molecularly imprinted polymer, attenuated vaccine, molecular imprinting"
A. Rojas,"molecularly imprinted polymer, molecular imprinting"
Yuelong Shu,"molecularly imprinted polymer, molecular imprinting, molecular recognition, nip, monolithic hplc column"
J. Foo,"molecularly imprinted polymer, molecular imprinting, molecular recognition, nip, monolithic hplc column"
Yufeng Quan,molecularly imprinted polymer
S. Srinivasan,molecularly imprinted polymer
Qiuyue Li,"molecularly imprinted polymer, monolith"
D. Marchini,"molecularly imprinted polymer, monolith"
Jimmy Bennett,"molecularly imprinted polymer, epigenome, genome"
T. Bennett,molecularly imprinted polymer
Tong Deng,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular, enzalutamide"
J. Engelbrecht,"molecularly imprinted polymer, oryza, molecular imprinting, imprinting (psychology), molecular, segmental duplication"
M. Schroda,"molecularly imprinted polymer, molecular, thermogravimetric analysis"
M. Baldi,"molecularly imprinted polymer, molecular imprinting, molecular"
M. Rosovitz,"molecularly imprinted polymer, molecular imprinting, molecular"
Jiabo Wang,"molecularly imprinted polymer, langmuir adsorption model, molecular, precipitation polymerization"
C. Czauderna,"molecularly imprinted polymer, langmuir adsorption model, molecular, precipitation polymerization"
P. Parola,"molecularly imprinted polymer, molecular imprinting, molecular, synthesis"
Karen Powell,"molecularly imprinted polymer, molecular imprinting, molecular, synthesis"
G. Braus,"molecularly imprinted polymer, danish, molecular imprinting, molecular, genome-wide association study, genetic association, trait"
Yan-lin Zhao,"molecularly imprinted polymer, molecular imprinting, molecular, depression, trait"
J. Jacobs,"molecularly imprinted polymer, precipitation polymerization, synthesis, dispersity"
B. K. Mishra,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), precipitation polymerization, ethylene glycol dimethacrylate"
P. Au,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), precipitation polymerization, ethylene glycol dimethacrylate"
K. D. Sørensen,"molecularly imprinted polymer, boronic acid, molecular imprinting, molecular recognition, molecular, alkyne"
Kotaro Sato,molecularly imprinted polymer
I. Migliaccio,molecularly imprinted polymer
R. Levine,"molecularly imprinted polymer, molecular imprinting, electrochromatography, monolithic hplc column"
Raveendhara R. Bannuru,"molecularly imprinted polymer, molecular imprinting, electrochromatography, monolithic hplc column"
A. Huebner,"molecularly imprinted polymer, molecular imprinting, electrochromatography, monolithic hplc column"
Yun-Feng Li,"molecularly imprinted polymer, molecular imprinting, molecular"
M. Vecchio,"molecularly imprinted polymer, molecular imprinting, molecular"
M. Martínez-González,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology)"
J. Lasky-Su,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology)"
V. Marco-Benedí,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), chromatographic, synthesis, template"
M. Ried-Larsen,"molecularly imprinted polymer, molecular imprinting, molecular recognition"
R. Rivallan,"molecularly imprinted polymer, molecular imprinting, molecular recognition"
Jia-Ming Zhang,"molecularly imprinted polymer, molecular imprinting"
T. Nguyen,"molecularly imprinted polymer, molecular imprinting, sequence (biology), homology"
Shihua He,"molecularly imprinted polymer, molecular imprinting, pandemic, coronavirus"
Yu Jin,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, reusability, selective adsorption"
Wei Xu,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, reusability, selective adsorption"
K. Vargas-Berrones,"molecularly imprinted polymer, molecular imprinting, rational design"
F. Ullah,"molecularly imprinted polymer, molecular imprinting, imprinting (psychology), molecular recognition, environmentally friendly"
Yameng Zhao,"molecularly imprinted polymer, molecular imprinting, molecular recognition"
K. Fukumura,"molecularly imprinted polymer, selective adsorption"
S. Parikh,"molecularly imprinted polymer, selective adsorption"
E. Steingrímsson,"molecularly imprinted polymer, molecular"
N. Dikow,"molecularly imprinted polymer, molecular"
D. Schaid,"molecularly imprinted polymer, molecular imprinting"
Roberto Mendoza,"molecularly imprinted polymer, molecular imprinting, pcsk9, etiology"
P. Peyser,"molecularly imprinted polymer, molecular imprinting, molecular, etiology, dysbiosis"
I. M. Mokhosoev,"molecularly imprinted polymer, molecular imprinting, molecular"
I. Giuroiu,"molecularly imprinted polymer, molecular"
Xiao Sun,"molecularly imprinted polymer, molecular"
Yuan-De Tan,"molecularly imprinted polymer, molecular"
S. Salvadori,"molecularly imprinted polymer, molecular imprinting"
P. Mölling,"molecularly imprinted polymer, molecular imprinting"
K. Blyth,"molecularly imprinted polymer, molecular imprinting, chromatographic, molecular, synthesis"
Gaelle Auguste,"molecularly imprinted polymer, molecular imprinting, chromatographic, molecular, synthesis, 2019-20 coronavirus outbreak"
Jiehuan Sun,"molecularly imprinted polymer, molecular"
G. Iwama,"molecularly imprinted polymer, molecular imprinting, molecular recognition, aptamer, template"
R. Newton,"molecularly imprinted polymer, molecular, thermogravimetric analysis"
M. Prudencio,"molecularly imprinted polymer, molecular, thematic analysis, thermogravimetric analysis"
A. Shuldiner,"molecularly imprinted polymer, baseline (sea), benchmark (surveying), molecular imprinting, molecular recognition, molecular, bioanalysis, code (set theory), penicillin binding proteins"
X. Wu,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, bioanalysis"
K. Anbarasu,"molecularly imprinted polymer, molecular imprinting, molecular recognition, molecular, bioanalysis"
Philip S. Tsao,"molecularly imprinted polymer, molecular imprinting, robustness"
José M Oliveira Júnior,"molecularly imprinted polymer, molecular imprinting, 2019-20 coronavirus outbreak"
I. Goodfellow,"molecularly imprinted polymer, benchmark (surveying), molecular imprinting, nanomaterials, biomedical text mining, named entity recognition, relationship extraction"
S. Altamentova,"molecularly imprinted polymer, molecular imprinting, nanomaterials"
Zidong Wang,"softmax function, query plan, rdf query language, spatial query"
E. Gaulin,"softmax function, benchmark (surveying), convolution (computer science)"
V. Tsotras,"maximization, mobile edge computing, computation offloading"
A. Snoeren,"maximization, mobile edge computing, computation offloading"
I. A. T. Hashem,"maximization, sketch, visibility"
Florian Priller,"maximization, indexing, concordance, nomogram, ajcc staging system"
Luigi Palmieri,"maximization, indexing"
N. Keriven,"maximization, benchmark (surveying), association (psychology), entity linking, named entity recognition"
M. Clement,"maximization, benchmark (surveying), entity linking, named entity recognition"
Evangelos Pournaras,"maximization, benchmark (surveying), synthetic data"
C. Rose,"dropout (neural networks), regularization"
A. Rahmanian,"dropout (neural networks), regularization"
C. Ardagna,"dropout (neural networks), regularization"
A. Levasseur,"economic shortage, aptamer, biomedicine"
V. Amaral,"economic shortage, aptamer, biomedicine"
Wei Wu,"economic shortage, unavailability, gene regulatory network"
S. Jagatheesaperumal,economic shortage
R. Jimenez,"economic shortage, 2019-20 coronavirus outbreak"
A. Kassambara,"economic shortage, 2019-20 coronavirus outbreak"
Kaijin Xu,"economic shortage, 2019-20 coronavirus outbreak"
Watfa Al-Mamari,"economic shortage, hepatitis b, regimen"
T. Busch,"economic shortage, hepatitis b, regimen"
F. Haider,"emerging technologies, divergence (linguistics), regularization"
Bin Li,"emerging technologies, data management"
J. Hakim,"emerging technologies, implementation, downtime"
E. Mantzourani,"emerging technologies, implementation, downtime"
Alexander Krause,"emerging technologies, distributed ledger, metamodeling"
D. Tcharaktchiev,"emerging technologies, tracking (education), health professionals"
P. Stevenson,"emerging technologies, tracking (education), health professionals"
Xiqi Fei,emerging technologies
F. Suárez-Obando,"clinical practice, risk stratification, best practice"
A. Idri,"clinical practice, risk stratification, best practice"
D. Cantu,"clinical practice, risk stratification, best practice"
A. Henders,"clinical practice, minimal residual disease, circulating tumor cell, liquid biopsy, circulating tumor dna"
Liyun Liu,"clinical practice, biomarker discovery, extracellular vesicles"
E. Binda,"clinical practice, biomarker discovery, extracellular vesicles"
M. Bissell,clinical practice
P. Raggi,clinical practice
Longchao Zhu,"clinical practice, cardiovascular health, subclinical infection"
N. Hulo,"clinical practice, cardiovascular health, subclinical infection"
D. Studholme,"clinical practice, cardiovascular health, subclinical infection"
L. Narro,"clinical practice, frontier"
Fangji Yang,"clinical practice, expert opinion, assisted reproductive technology"
K. Stegmann,"clinical practice, expert opinion, assisted reproductive technology"
Liping Huang,"clinical practice, expert opinion, assisted reproductive technology"
C. López-Causapé,"clinical practice, personalized medicine, presentation (obstetrics)"
Yanli Yang,"clinical practice, personalized medicine, presentation (obstetrics)"
A. Massabni,"clinical practice, biomolecule, risk stratification"
Melanie Jones,"clinical practice, risk stratification"
Anna Szuto,clinical practice
Liyan Yu,clinical practice
Weiwei Qian,clinical practice
Feng Yu,"clinical practice, cardiovascular health, modalities"
Rachel A. Martel,"clinical practice, cardiovascular health, modalities"
Gen Xu,clinical practice
F. Fend,"clinical practice, guideline"
J. D. Johnson,"clinical practice, dynamical billiards, modalities"
Hua Zhou,"clinical practice, modalities"
Mutakin,"clinical practice, paradigm shift, molecular imaging"
Caizheng Yu,clinical practice
P. Arora,clinical practice
A. Gassama†,clinical practice
A. Tropsha,"health records, electronic health record, health"
Fabrízzio Soares,"health records, electronic health record, health"
R. Sahay,"health records, molecular, health, amide, atherosclerotic cardiovascular disease, mri contrast agent"
Liang Liang,"health records, health, drug development, drug repositioning, genome, repurposing"
Wenhui Zou,"health records, health, drug development, drug repositioning, repurposing"
F. Key,"health records, electronic health record, health, cardiovascular health, proteome, translational research"
George M. Slavich,"health records, electronic health record, health, cardiovascular health, translational research"
H. Gebremeskel,"health records, personalized medicine, health"
Weibei Fan,"health records, electronic health record"
Eemil Lagerspetz,"health records, mining"
Lejun Zhang,"health records, mining"
Xinqiang Pan,"health records, mining"
Jinming Chen,"electronic health record, health"
G. Thapa,"electronic health record, health"
T. Masaki,"electronic health record, phenome"
Davide Corti,"electronic health record, phenome"
Yuanyuan Zhang,"electronic health record, phenome"
D. Perez,"electronic health record, health"
P. Sánchez,"homomorphic encryption, data aggregator, security analysis, smart meter"
M. Drocco,"homomorphic encryption, mining"
Da Zheng,"homomorphic encryption, component (thermodynamics), simplicity"
Sahar A. ElRahman,homomorphic encryption
J. Martinovič,"homomorphic encryption, differential privacy"
Nathan A. Dunn,"homomorphic encryption, web of things, participatory sensing"
J. Sabattin,"homomorphic encryption, kernel (algebra)"
Kareemulla Shaik,"homomorphic encryption, kernel (algebra)"
Yannis Chronis,homomorphic encryption
Wenchao Huang,homomorphic encryption
A. Mondal,"homomorphic encryption, semantic security"
Moein Khazraee,"homomorphic encryption, semantic security"
Huayi Zhang,"homomorphic encryption, cloud database"
Mi-Hye Kim,"homomorphic encryption, mining"
Xin Li,"homomorphic encryption, paillier cryptosystem, security analysis"
Tianfu He,"homomorphic encryption, paillier cryptosystem, security analysis"
Isaac Kofi Nti,homomorphic encryption
Q. Tan,"homomorphic encryption, health, ehealth"
K. Hampson,"homomorphic encryption, health, ehealth"
G. Browning,"homomorphic encryption, health, chirality, anti-inflammatory, proinflammatory cytokine, ehealth"
Maxwell J. Giammona,"homomorphic encryption, private information retrieval"
Anjum,"homomorphic encryption, inverted index, locality-sensitive hashing"
Atia Javaid,homomorphic encryption
Baochun Li,homomorphic encryption
Bin Sheng,"homomorphic encryption, mining"
Yesin Sahraoui,"homomorphic encryption, mining"
Sulaiman Khan,"homomorphic encryption, mining, conceptual model, raster data"
Shiyong Li,"homomorphic encryption, security analysis, semantic security"
Zongxia Xie,"homomorphic encryption, dram, cas latency, phase-change memory, security analysis, semantic security"
M. Sha,"homomorphic encryption, range query (database)"
A. Blizzard,"homomorphic encryption, modalities, range query (database)"
R. MacKie,"homomorphic encryption, smart contract, trait"
Jiandong Li,"homomorphic encryption, smart contract"
H. Li-Byarlay,"homomorphic encryption, smart contract"
T. Ideker,"homomorphic encryption, electronic voting, mining, semantic security"
Xiaosong Zhang,homomorphic encryption
Jean-Philippe Babau,homomorphic encryption
P. Fountas,homomorphic encryption
Abdelwahed Motwakel,"homomorphic encryption, benchmark (surveying)"
Jun Zhang,"homomorphic encryption, page cache, spatial query, snapshot (computer storage)"
V. H. C. de Albuquerque,"homomorphic encryption, flash memory"
Leila Bagherzadeh,"homomorphic encryption, mining, distributed database, paillier cryptosystem"
B. Garcia-Zapirain,homomorphic encryption
Christoph Stach,homomorphic encryption
Khan Muhammad,"homomorphic encryption, secure communication, end-to-end principle, security analysis"
Gary Cheng,homomorphic encryption
Ching-Hsien Hsu,"homomorphic encryption, differential privacy, kernel (algebra), leakage (economics), information leakage"
Hui Sun,"homomorphic encryption, lpwan, lossy compression"
Oussama Habachi,"pruning, genetic association, sequence (biology), bridge (graph theory)"
M. Kaosar,"pruning, mining, differential privacy, autoencoder"
C. Lim,pruning
Cătălin Negru,"pruning, data compression ratio, lossy compression"
Ching-Hsien Hsu,"pruning, data compression ratio, lossy compression"
Jianmei Ye,pruning
Mazharul Islam,"pruning, mining, data management"
U. Alo,"pruning, mining"
Juergen Hahn,"pruning, pandemic, associative property, pathogenesis, coronavirus"
D. Meddage,"pruning, associative property"
Yu Zhang,"pruning, associative property"
K. Bharani,"gold standard (test), neisseria gonorrhoeae, point-of-care testing, point of care, multiple displacement amplification"
E. Douard,"gold standard (test), neisseria gonorrhoeae, point-of-care testing, point of care, multiple displacement amplification"
M. Ramazzotti,"gold standard (test), subclinical infection"
S. Albuquerque,gold standard (test)
T. Assimes,"gold standard (test), stroke"
V. Picot,"gold standard (test), stroke"
Ningning Wang,"gold standard (test), coronavirus, high-throughput screening"
T. Viitala,"gold standard (test), robustness, blood smear"
S. Imholz,"gold standard (test), robustness, blood smear"
Xiu-ying Liu,"gold standard (test), grading (engineering), histopathology"
Vijay Kumar,"gold standard (test), grading (engineering), histopathology, lineage (genetic), molecular epidemiology"
G. Aleppo,"grading (engineering), coronavirus, 2019-20 coronavirus outbreak, steatosis"
S. Lomazzi,"grading (engineering), human genetics, gene signature"
Can Chen,"grading (engineering), gene signature"
S. Santhosh,"grading (engineering), gene signature"
T. Bonilla,"histopathology, immunogen, pandemic, coronavirus"
Au Yeung,histopathology
N. Evangelatos,histopathology
A. Broglia,"computer cluster, data center"
E. Thomas,"computer cluster, data center"
R. Ostrovsky,"computer cluster, python, terabyte"
Zain Abubaker,"computer cluster, transformer, extreme learning machine, predictability"
H. Mahmoud,"computer cluster, predictability"
A. Spurdle,"distributed file system, smart contract"
Anuradha Mitra,"distributed file system, pcsk9, smart contract"
Tatiana Q. Aguiar,"distributed file system, biocatalysis, synthetic biology, metabolic engineering, smart contract, factory (object-oriented programming)"
Á. J. Varela-Vaca,"distributed file system, distributed database, replication"
S. Sujatha,"distributed file system, distributed database, replication"
Johannes Pietrzyk,"distributed file system, code (set theory)"
Tao Zhu,"storage management, instruction prefetch, edge device, dram, memory bandwidth, cas latency, access time, memory hierarchy"
Selim Gürgen,"storage management, instruction prefetch, dram, memory bandwidth, cas latency, access time, memory hierarchy"
Wajdi Aljedaani,"open research, application layer"
L. Williams,open research
E. Ivashko,"open research, data stream clustering, locality-sensitive hashing"
Eugenio Grippo,open research
Haoran Su,"open research, extensibility"
Ilias Gialampoukidis,open research
Yuliang Shi,open research
Z. Iqbal,open research
Rui Liu,"open research, blueprint"
Tehseen Mazhar,optimization algorithm
W. Guo,"vulnerability, mining"
Alireza Tavakoli Targhi,"vulnerability, mining"
Jie Li,"vulnerability, python, granularity, code (set theory), commit"
Samet Oymak,"vulnerability, python, granularity, code (set theory), commit"
Jianting Ning,"vulnerability, electronic voting, data center, edge device"
Nicholas A. Clark,"vulnerability, electronic voting"
Reem Al-Jindan,vulnerability
Takeshi Masuda,vulnerability
J. Corcoran,"vulnerability, mining, backup software"
Haoying Wang,"vulnerability, sql injection, component (thermodynamics), testbed"
Hong Zhao,"vulnerability, publication, code (set theory)"
Zechao Shang,"vulnerability, code (set theory)"
S. Habashy,"vulnerability, commit"
Francisco García-García,"vulnerability, mining, data transformation, commit, non-negative matrix factorization"
Marco Aldinucci,"vulnerability, granularity, code (set theory)"
A. Mungur,"vulnerability, granularity, code (set theory)"
Biwen Chen,"vulnerability, data aggregator, smart contract"
B. Prabadevi,"vulnerability, benchmark (surveying), benchmarking"
Zhengjie Sun,"vulnerability, benchmark (surveying), benchmarking"
Yuan Guo,"vulnerability, benchmark (surveying), data breach, customer satisfaction, benchmarking, security analysis"
Yang Hu,vulnerability
Xiuzhen Cheng,vulnerability
Sangyoon Oh,"vulnerability, code (set theory)"
B. Samali,"vulnerability, mining, python, argument (complex analysis)"
Keping Long,"vulnerability, code (set theory)"
Sang Min Lee,"transformative learning, privacy software"
P. Koutsourelakis,transformative learning
Sherry L. Jenkins,"transformative learning, privacy software, security analysis"
L. Beauchesne,"transformative learning, ex vivo, biodistribution"
C. Cavazzoni,"factor (programming language), sketch"
Jinwen Liang,"factor (programming language), sketch"
N. Zheng,factor (programming language)
Jesús Lázaro,factor (programming language)
Yuping Song,"data modeling, transformer, dissolved gas analysis"
D. Chew,"data modeling, transformer, dissolved gas analysis"
T. Cesuroglu,"data modeling, transformer, dissolved gas analysis"
Mirjam Kohls,"cuckoo search, extreme learning machine"
Y. Sims,"patient care, medical genetics"
K. Wilemon,"patient care, milestone, pace, exome"
A. Van der Linden,"patient care, milestone, pace, exome"
Ramakant Yadav,"patient care, milestone, pace, exome, salmonella enterica, tumor progression"
H. Soltanian-Zadeh,data storage
Vassilis Barkoukis,data storage
Yuanqing Feng,data storage
M. Franco-Martin,"data storage, rdf schema, linked data, rdf/xml, rdf query language, cwm"
D. Jinwala,"data storage, rdf schema, linked data, rdf/xml, rdf query language, cwm"
Yuxiang Li,"data storage, data center, rdf schema, linked data, rdf/xml, rdf query language, cwm"
Malte Bieler,"data storage, netcdf"
Cheqing Jin,"data storage, adaboost"
R. Kumar,data storage
W. Ng,data storage
Tipp Moseley,data storage
Xing Hu,"data storage, python"
Jian Weng,data storage
L. G. Gonzalez Castro,base (topology)
M. Carceles-Cordon,"base (topology), characterization, surface charge"
Juozas Vasiliauskas,"base (topology), characterization, surface charge"
D. Sanches,"base (topology), health, polygenic risk score, code (set theory)"
T. Rampias,"base (topology), health, indole-3-acetic acid, code (set theory)"
C. Ahmed,"base (topology), chromatographic"
S. Dutta,"base (topology), linkage (software)"
Zhènglì Shí,"base (topology), linkage (software)"
Balu Balan,"longitudinal study, synteny, delay discounting, delay of gratification, plant hormone, trait"
J. Illes,"baseline (sea), benchmark (surveying), code (set theory)"
Hui Zhou,"baseline (sea), query plan"
Suhuai Luo,"baseline (sea), query plan"
F. Claessens,benchmark (surveying)
A. Ali,benchmark (surveying)
Beibei Li,benchmark (surveying)
T. Janowski,"benchmark (surveying), iterated function, iterated function system"
Ashish Ghosh,"benchmark (surveying), line (geometry), knowledge graph, complement, self-organizing map, power grid"
F. Kiessling,"benchmark (surveying), speedup, materialized view"
K. A. Shakil,benchmark (surveying)
Sana Ben Abdallah Ben Lamine,"benchmark (surveying), entity linking, zero (linguistics), named entity recognition"
Qinghe Zheng,"benchmark (surveying), entity linking, named entity recognition"
Yedige Tlegenov,benchmark (surveying)
Shengwen Liang,benchmark (surveying)
Lin Li,benchmark (surveying)
Chongming Gao,benchmark (surveying)
